!!!,Freedom! '15
Elliphant,Love Me Badder
Elvis Perkins,AM
Emma Louise,Underflow
Emmy The Great,Swimming Pool
Empress Of,How Do You Do It
Empress Of,Standard
Endless Heights,Haunt Me
Equal,Shakedown {Ft. Seja}
Errors,Lease Of Life
ESESE,Alive {Ft. Hancoq/Baro/Cazeaux OSLO}
ESESE,WONDERLAND {Ft. Hancoq/Hudson James Jr/Lostbeat}
Etienne De Crecy,WTF {Ft. P.O.S/Dave}
Evangeline,Chemicvl
Evangeline,My Kingdom
Everybody Everybody,Blackbox
Everything Everything,Distant Past
Everything Everything,Fortune 500
Everything Everything,No Reptiles
Everything Everything,Regret
Everything Everything,Spring/Sun/Winter/Dread
Everything Everything,With Every Heartbeat {triple j Like A Version}
Eves The Behavior,Electrical
Eves The Behavior,TV
Example,Whisky Story
Ezra Furman,Lousy Connection
Ezra Furman,Restless Year
Fait,Solace
Faith No More,Sunny Side Up
Faith No More,Superhero
Fake Problems,Holy Attitude
Fascinator,Dead Of The Night
Fashawn,Out The Trunk
Fashawn,Something To Believe In {Ft. Nas/Aloe Blacc}
Fat Freddy's Drop,Razor
Fat White Family,Whitest Boy On The Beach
Father Dude,Bring Us Back
Father John Misty,"I Love You, Honeybear"
Father John Misty,Strange Encounter
Favored Nations,Always
Feki,Quiet Minds {Ft. Emily}
Feki,Remember
Fekky,Way Too Much {Ft. Skepta}
Fences,Sunburns
Fever The Ghost,1518
FEWS,The Zoo
FIDLAR,40oz. On Repeat
FIDLAR,Drone
FIDLAR,Sober
FIDLAR,West Coast
Fieldings,A Pleasant Stutter
Fifth Dawn,Turbulence
Fit For An Autopsy,Absolute Hope Absolute Hell
Fit For An Autopsy,Ghosts In The River
FKA twigs,Figure 8
FKA twigs,Glass & Patron
FKA twigs,I'm Your Doll
FKA twigs,In Time
Flamingo,Lost On You
Flamingo Jones,Botanical Animal
Flight Facilities,Down To Earth {Radio Edit}
Flight Facilities,Heart Attack {Ft. Owl Eyes} {Radio Edit}
Floating Points,Silhouettes
Florence And The Machine,Caught
Florence And The Machine,Delilah
Florence And The Machine,"How Big, How Blue, How Beautiful"
Florence And The Machine,Mother
Florence And The Machine,Queen Of Peace
Florence And The Machine,Ship To Wreck
Florence And The Machine,St Jude
Florence And The Machine,Third Eye
Florence And The Machine,What Kind Of Man
Floria,Talk 2 Me
Flosstradamus,Don't Trip {Ft. Sizzy Rocket/Run The Jewels}
Flowertruck,Sunshower
Flume,Some Minds {Ft. Andrew Wyatt}
Flux Pavilion,Who Wants To Rock {Ft. Riff Raff}
Flyying Colours,Leaks
Flyying Colours,Running Late
Foals,Albatross
Foals,Birch Tree
Foals,Daffodils {triple j Like A Version}
Foals,Give It All
Foals,London Thunder
Foals,Mountain At My Gates
Foals,Night Swimmers
Foals,Snake Oil
Foals,What Went Down
Foam,Warm
Food Court,For The Morning
Food Court,On The River
Foreign Tongues,Assembly
Foreign Tongues,Fools Of Love
Foreign/National,Always Blue
Foreign/National,Pacific Cruise
Formation,Hangin
Fortunes,In My Hair
Fountaineer,Grand Old Flags
Four Year Strong,I Hold Myself In Contempt
Fox & Fowl,Eliza
Fox & Fowl,Spark
Fractures,Reactor
Frank Carter & The Rattlesnakes,Juggernaut
Fraser A. Gorman,Shiny Gun
Fraser A. Gorman,We're All Alright
Freddie Gibbs,Extradite {Ft. Black Thought}
Fresh Hex,Goddess {Ft. Rosebud Leach}
Friendships,Pedal To The Metal
FTSE,Blood On My Hands
FTSE,Brits Abroad
Full Tote Odds,Think About Me {Ft. Simplex}
Full Tote Odds,Waiting Games {Ft. Taylor Jones}
Funkoars,Below Average
Future Brown,Room 302 {Ft. Tink}
Future Islands,The Chase
Fyfe,Solace
Gabriella Cohen,I Don't Feel So Alive
Gallant,Weight In Gold
Gallows,Bonfire Season
"Game, The",El Chappo {Ft. Skrillex}
"Game, The",Magnus Carlsen {Ft. Anderson .Paak}
Gang Of Youths,All My Friends {triple j Like A Version}
Gang Of Youths,Kansas
Gang Of Youths,Magnolia
Gang Of Youths,Radioface
Gang Of Youths,Restraint & Release
Gang Of Youths,The Diving Bell
Gang Of Youths,Vital Signs
"Garden, The",All Smiles Over Here
Garrett Kato,UFOS
Gary Clark Jr.,Grinder
Gay Paris,Cult Slang
Gay Paris,The Sackcloth Saint Of The Cornfield
Gaz Coombes,20/20
Gemma Hayes,Palomino
GENER8ION,The New International Sound (Part.2) {Ft. M.I.A}
Genesis Owusu,The Day After Valentine's
Gengahr,Fill My Gums With Blood
Gengahr,Heroine
Gengahr,She's A Witch
Gengahr,Tired Eyes
George FitzGerald,About Time {Ft. Boxed In}
George FitzGerald,Call It Love (If You Want To)
George FitzGerald,Full Circle {Ft. Boxed In}
George Maple,Call Of The Wild
George Maple,Where You End And I Begin {Ft. Grande Marshall}
Georgi Kay,God Of A Girl
Georgia,Move Systems
Georgia Fair,Last Chance
Ghost,Cirice
Ghostpoet,Off Peak Dreams
Gideon Bensen,All New Low
Gill Bates,Didn't Mind {Prod. Feki}
Gill Bates,She Knows {Ft. Allday}
Gilligan Moss,Choreograph
Gin Wigmore,Willing To Die {Ft. Suffa & Logic}
Ginger & Drum,Habit
Girl Band,Paul
Girlpool,Chinatown
Givers,"Record High, Record Low"
GL,Number One
GL,Runner
Glass Animals,Gold Lime
Glass Animals & Joey Bada$$,Lose Control
Glass Skies,Still Here
Goat,It's Time For Fun
GodWolf,Resist
Going Swimming,Them Shakes
Gold Class,Bite Down
Gold Class,Furlong
Gold Class,Life As A Gun
Gold Fields,Make Me Feel {Ft. KLP}
Golden Features,Baxter
Golden Features,No One {Ft. Thelma Plum}
Golden Features,Telescope {Ft. K. Flay}
Golden Rules,Auntie Pearl's House
Golden Rules,Down South Boogie
Golden Rules,It's Over
Golden Vessel,Borrowed Time {Ft. Tiana Khasi}
Golden Vessel,Control {Ft. Caleb Hodges}
GoldLink,Dance On Me
GoldLink,Spectrum
"Gooch Palms, The",Slow Burner
"Gooch Palms, The",Tiny Insight
Good Boy,Transparency
"Goon Sax, The",Sometimes Accidentally
Gordi,Can We Work It Out
Gordi,Taken Blame
GOVS,6teenDRE'am
GOVS,Baby We're Outside Of Time
Grand Pavilion,Stranger
Grandtheft,Quit This City {Ft. Lowell}
Grandtheft & Sleepy Tom,Hold On
Graphic Characters,All Over
Green Buzzard,Slow It Down Now
Green Buzzard,Zoo Fly
Grenadiers,Handfuls Of Dirt
Grenadiers,Summer
Grenadiers,Take Forever
Grenadiers,Vitriol {triple j Like A Version}
Grimes,Artangels
Grimes,Belly Of The Beat
Grimes,Butterfly
Grimes,California
Grimes,Easily
Grimes,Flesh Without Blood
Grimes,Kill V. Maim
Grimes,Realiti
Grimes,Scream {Ft. Aristophanes}
Grimes,Venus Fly {Ft. Janelle Monae}
GRMM,Die Young {Ft. Wild Eyed Boy}
GRMM,Travolta Cool
Grouplove,No Drama Queen
GRRL PAL,Dare
GRRL PAL,Radar
GRRL PAL,Suggest
Guards Of May,The Observer
Guilty Simpson,Fractured {Ft. Fat Ray}
GUM,Anesthetized Lesson
Gunslingers,Interstellar
Gwilym Gold,Triumph
Gypsy & The Cat,Can't Stop Me Now
Gypsy & The Cat,Lost Control
GZA,The Mexican {Ft. Tom Morello}
Halcyon Drive,Reset
Half Moon Run,Consider Yourself
Half Moon Run,Hands In The Garden
Half Moon Run,Narrow Margins
Half Moon Run,Sun Leads Me On
Half Moon Run,Trust
Half Moon Run,Turn Your Love
Half Moon Run,Warmest Regards
Halsey,Castle
Halsey,Ghost
Halsey,Hold Me Down
Halsey,Hurricane
HAMJAM,Cooked
Hands Like Houses,New Romantics
Hanni El Khatib,The Teeth
"Hard Aches, The",Loser
"Harpoons, The",Ready For Your Love
Harts,Aerial Love {triple j Like A Version}
Harts,All Rise (Play It Cool)
Harts,Breakthrough
Harvey Sutherland,Bermuda
Hau,Kill.I.Am
Hau,Light Bulbs {Ft. DJ Dexter}
Hau,Skip Hop {Ft. LTC}
Hayden Calnin,White Night
Hayden James,Something About You
HEALTH,New Coke
HEALTH,Stonefist
Hein Cooper,Rusty
Hein Cooper,The Art Of Escape
Hellions,Hellions
Hellions,Nottingham
Her,Five Minutes
Here We Go Magic,Falling
Hermitude,Bermuda Bay
Hermitude,Hazy Love {Ft. Chloe Kaul}
Hermitude,Hijinx
Hermitude,Metropolis
Hermitude,Searchlight {Ft. Yeo}
Hermitude,The Buzz {Ft. Mataya/Young Tapz}
Hermitude,Through The Roof {Ft. Young Tapz}
Hermitude,Ukiyo (OK Sure Remix)
Hiatus Kaiyote,Breathing Underwater
Hiatus Kaiyote,Dare {triple j Like A Version}
Hiatus Kaiyote,Shaolin Monk Motherfunk
Hiatus Kaiyote,Swamp Thing
High Highs,Cascades
High Tension,Killed By Life
High,tails,Information
High,tails,My Heart
Highasakite,Keep That Letter Safe
HINDS,Chili Town
HINDS,Garden
HINDS,San Diego
Hippo Campus,South
Hippo Campus,Suicide Saturday
Hockey Dad,Can't Have Them
Holy Holy,A Heroine
Holy Holy,Sentimental And Monday
Holy Holy,You Cannot Call For Love Like A Dog
"Holy Soul, The",Precious
Honne,Loves The Jobs You Hate
Hooton Tennis Club,Kathleen Sat On The Arm Of Her Favourite Chair
Hopium,Right Now
Horror My Friend,Mazes
Horrorshow,Any Other Name {Ft. Jimblah/Thelma Plum/Urthboy}
Hot Chip,Huarache Lights
Houndmouth,Sedona
Howl,I'm Gone
Howl At The Moon,Russian Thistle
Hudson Mohawke,Ryderz
Hudson Mohawke,Scud Books
Hudson Mohawke,Very First Breath {Ft. Irfane}
Hudson Mohawke,Warriors {Ft. Ruckazoid/Devaeux}
Hugo Frederick,Hexagonia
Hugo Frederick,Remote
Hugo Frederick,Skin
Husband,The Money
I Know Leopard,Another Life
I Know Leopard,Close My Eyes
I Know Leopard,Waterfalls {triple j Like A Version}
"I, Valiance",The Pillars Of Ruin
I'lls,Keep
Iglooghost,Gold Coat {Ft. Cuushe}
Illy,Swear Jar
Immigrant Union,In Time
In Hearts Wake,Badlands
In Hearts Wake,Breakaway
In Hearts Wake,Erase
In Hearts Wake,Insomnia
In Hearts Wake,Skydancer
In Hearts Wake,Vice Grip {triple j Like A Version}
In Hearts Wake,Wildfire
Infinity Broke,Famine Of Words
Infinity Broke,Only The Desert Grows
"Internet, The",Gabby {Ft. Janelle Monae}
"Internet, The",Get Away
"Internet, The",Girl {Ft. Kaytranada}
"Internet, The",Go With It {Ft. Vic Mensa}
"Internet, The",Something's Missing
"Internet, The",Special Affair
"Internet, The",Under Control
Islandis,Home
IV League,Lit Screen
IV League,Varsity
Ivan Ooze,Fire
J Motor,Jungle Daze
j.viewz,Don't Pull Away {Ft. Milosh}
Jaakko Eino Kalevi,Deeper Shadows
Jaala,Hard Hold
Jaala,Salt Shaker
Jack Colwell,Don't Cry Those Tears
Jack Garratt,Breathe Life
Jack Garratt,Chemical
Jack Garratt,Weathered
Jack Ladder & The Dreamlanders,To Keep And Be Kept
Jack R Reilly,Submerged
Jack U,To U {Ft. AlunaGeorge}
Jackie Onassis,Breathe
Jackie Onassis,Crew
Jackie Onassis,MIA {Ft. Vydamo}
Jackie Onassis,Stay In {Ft. Spit Syndicate}
Jai Wolf,Indian Summer
Jai Wolf,Trophy Wife
Jakarta Criers,Medicine
James Chatburn,Holiday Love {Ft. Jordan Rakei}
James Crooks,Naturally {Ft. Paige IV}
James Vincent McMorrow,How To Waste A Moment
Jamie Woon,Sharpness
Jamie xx,Gosh
Jamie xx,I Know There's Gonna Be (Good Times) {Ft. Young Thug/Popcaan}
Jamie xx,Loud Places {Ft. Romy}
Jamie xx,Obvs
Jamie xx,SeeSaw {Ft. Romy}
Jamie xx,Stranger In A Room {Ft. Oliver Sim}
"Japanese House, The",Cool Blue
"Japanese House, The",Still
Japanese Wallpaper,Forces {Ft. Airling}
Jarryd James,Do You Remember
Jarryd James,Give Me Something
Jarryd James,Giving It Up
Jarryd James,Regardless {Ft. Julia Stone}
Jarryd James,Say It Ain't So {triple j Like A Version}
Jarryd James,Sell It To Me
Jarryd James,Sure Love
Jarryd James,"This Time (Serious Symptoms, Simple Solutions)"
Jarryd James,Underneath
Jay Rock,Gumbo
Jay Rock,Money Trees Deuce {Ft. Lance Skiiiwalker}
Jaysways,Snapped Wires \\ Rest Assured
jayteehazard,Red Shift
Jebediah,Go {triple j Like A Version}
Jen Cloher,Needle In The Hay
Jenny Broke The Window,Black Skeleton
Jenny Broke The Window,Skinny Dip
jennylee,Never
Jeremy Neale,Hold On Together {Ft. Phoebe Imhoff}
Jeremy Neale,The Love Calling {Ft. Harriette Pilbeam}
Jess Kent,Get Down
Jess Ribeiro,Hurry Back To Love
Jess Ribeiro,Kill It Yourself
Jesse Davidson,Lagoon
Jesse Davidson,Laika
Jesse Davidson,Sober {triple j Like A Version}
Jessica Pratt,Game That I Play
"Jezabels, The",Come Alive
Jia Lih,Chance In Love {Ft. B Cannon}
Jillionaire & Swick,Ants Nest {Ft. T.O.K.}
Jimblah,Treaty 2015 {Ft. Nooky/Ellie Lovegrove/Zachariiah Fielding}
Jinja Safari,Accident
Jinja Safari,Find My Way
Jinja Safari,Kilimanjaro
JME,Man Don't Care {Ft. Giggs}
Joanna Gruesome,Honestly Do Yr Worst
Joanna Newsom,Leaving The City
Joanna Newsom,Sapokanikan
Joey Bada$$,Big Dusty
Joey Bada$$,Curry Chicken
Joey Bada$$,Escape 120 {Ft. Raury}
Joey Bada$$,Hazeus View
Joey Bada$$,Like Me {Ft. BJ The Chicago Kid}
Joey Bada$$,No. 99
Joey Bada$$,On & On {Ft. Maverick Sabre/Dymeond Lewis}
Joey Bada$$,Paper Trail$
Joey Bada$$,Teach Me {Ft. Kiesza}
"John Steel Singers, The",Weekend Lover
Jones Jnr.,Perfume
Joni In The Moon,Tarantella
Joni In The Moon,War And Porn
Jordan Rakei X Kiran Kai,Maya
Josef Salvat,Night Swim
Josh Pyke,Songlines
Josh Pyke,There's A Line
JOY.,About Us
JOY.,Weather
JP Klipspringer,I Blame Carl Weathers
Julia Holter,Feel You
Julia Holter,Sea Calls Me Home
Julio Bashmore,Holding On {Ft. Sam Dew}
Julio Bashmore,Kong {Ft. Bixby}
"Jungle Giants, The",Creepy Cool
"Jungle Giants, The",Devil's Play
"Jungle Giants, The",Every Kind Of Way
"Jungle Giants, The",It Gets Better
"Jungle Giants, The",Kooky Eyes
"Jungle Giants, The",Lemon Myrtle
"Jungle Giants, The",Lights & Music {triple j Like A Version}
Junior Boys,Big Black Coat
Junior Boys,What You Won't Do For Love
Just A Gent,Heavy As A Heartbreak {Ft. LANKS}
Kacy Hill,Foreign Fields
Kagu,Human
Kali Uchis,Ridin Round
Kant vs. MK,Ey Yo
Kanye West,All Day {Ft. Theophilus London/Allan Kingdom/Paul McCartney}
Kanye West,Only One {Ft. Paul McCartney}
Kate Boy,Northern Lights
Kaytranada,Drive Me Crazy {Ft. Vic Mensa}
Kelela,A Message
Kelela,Rewind
Kendrick Lamar,Alright
Kendrick Lamar,How Much A Dollar Cost {Ft. James Fauntleroy/Ronald Isley}
Kendrick Lamar,Institutionalized {Ft. Bilal/Anna Wise/Snoop Dogg}
Kendrick Lamar,King Kunta
Kendrick Lamar,The Blacker The Berry
Kendrick Lamar,These Walls {Ft. Bilal/Anna Wise/Thundercat}
Kendrick Lamar,Wesley's Theory {Ft. George Clinton/Thundercat}
Kendrick Lamar,You Ain't Gotta Lie (Momma Said)
Kenton Slash Demon,Harpe
Kid Wave,Honey
Kid Wave,Wonderlust
Kids At Midnight,Electrified
Kids At Midnight,Survival
"Kill Devil Hills, The","I Am The Rut, I Am The Wheel"
Kill The Noise,Mine {Ft. Bryn Christopher}
Kilter,Ice Cream {Ft. Ngaiire} {triple j Like A Version}
Kilter,Want 2 {Ft. Porsches}
King Colour,You Just Don't Know It Yet
King Gizzard & The Lizard Wizard,God Is In The Rhythm
King Gizzard & The Lizard Wizard,Paper Mache Dream Balloon
King Gizzard & The Lizard Wizard,Trapdoor
King Parrot,Like A Rat
Kingfisha,Water Running
Kira Puru,All Dulled Out
Kirin J Callinan,The Teacher {Ft. Connan Mockasin}
Kita Alexander,Like You Want To
Kita Alexander,My Own Way
"Kite String Tangle, The x Dustin Tebbutt",Illuminate
KLP,Recover {Ft. Remi}
Knife Party,PLUR Police
Kochi Boy & Henrik The Artist,Friends Forever
Koi Child,Black Panda
Kölsch,Talbot {Ft. Gregor Schwellenbach}
"Kooks, The",Creatures Of Habit
KUCKA,Flux 98
Kuren,Achillies
Kuren,It Still Hurts
Kurt Vile,Life Like This
Kurt Vile,Pretty Pimpin
L D R U,Keeping Score {Ft. Paige IV}
L,FRESH The LION,Get Mine {Ft. Parvyn Kaur Singh}
La Priest,Oino
Lamb of God,512
Lamb of God,Still Echoes
Lana Del Rey,High By The Beach
Lana Del Rey,Honeymoon
Lana Del Rey,Music To Watch Boys To
Lana Del Rey,Terrence Loves You
Lanks,Aurelia
Lanks,Hold Me Closer
Lapalux,Closure
Lapalux,Don't Mean A Thing
Lapsley,8896
Lapsley,Falling Short
Lapsley,Hurt Me
Last Dinosaurs,Always
Last Dinosaurs,Apollo
Last Dinosaurs,Evie
Last Dinosaurs,Wellness
Last Dinosaurs,Wurl
Lastlings,Wavelength
Laura Marling,False Hope
Laura Marling,How Can I
Laura Marling,Short Movie
"Laurels, The",Zodiak K
Le Pie,Josephine
Le Pie,Secrets
Le1f,Koi
Left.,Freedom
Left.,Jungle
Left.,Lay With Me
Leftfield,Bilocation
Leftfield,Universal Everything
Leikeli47,Heard Em Say
Leisure,Got It Bad
Leisure,Take It To The Top
Leon Bridges,Better Man
Leon Bridges,Coming Home
Leon Osborn,The Map & The Territory
Lewis Cancut,Systems
"Libertines, The",Gunga Din
Lido & CanBlaster,Superspeed
Life Is Better Blonde,Follow Me
Life Is Better Blonde,Mine
Lilt,Capture
Lilt,Don't Tell Me
Lincoln Jesser,In My Place
Lion Babe,Impossible
LIR,Chasing
Little Deed,Storm In My Cup
Little May,Cicadas
Little May,Great Southern Land {triple j Like A Version}
Little May,Home
Little May,Oh My My
Little May,Seven Hours
Little May,Sold
Little Simz,Dead Body
Little Simz,Don't Ruin It
Little Simz,Gratitude {Ft. The Hics}
Little Simz,Lane Switch
Little Simz,The Lights
"Living Eyes, The",Put It Back
Logic,Like Woah
Lola Marsh,You're Mine
Lolawolf,House Key
LOLO BX,Everything {Ft. Lucy Mason}
LOLO BX,for u
Lontalius,All I Wanna Say
Loon Lake,Just Now
Loon Lake,Radiator
Loon Lake,Surfin'
Lord Huron,Fool For Love
Lost Woods,Ancient Psychic Tandem War Elephant
Louis The Child,It's Strange {Ft. K.Flay}
Love Of Diagrams,Story Up
Low,No Comprende
LOW LUX,Rivers Roll
LOW LUX,Ruin
Lower Dens,To Die In L.A.
Lower Spectrum,Proxima
Lowtide,Spring
Loyle Carner,Ain't Nothing Changed
LTC,0.999
LTC,Bangers & Mash
Luca Brasi,Aeroplane
Luca Brasi,In The Sight
LUCIANBLOMKAMP,From Afar
Lucky Luke,1 Day
Luke Million,Archetype {Ft. Jeswon}
Luke Million,Fear The Night {Ft. Jesse Davidson}
"Lulu Raes, The",Burnout
Lupa J,Armour
Lupa J,Dirty Skin
Lupa J,Quiet Here
Lupa J,Waiting For Her
Lupe Fiasco,Little Death {Ft. Nikki Jean}
Lupe Fiasco,Mural
Lurch & Chief,Breathe Out
Lurch & Chief,Echo
Lurch & Chief,Fading Out
Lusts,Temptation
Lusts,Waves
LVYN,Legion
Lxury,Square 1 {Ft. Deptford Goth}
Lxury & LA Priest,Show
M.I.A,Can See Can Do
M.I.A.,Borders
M83,Holes In the Sky {Ft. HAIM}
MAALA,In The Air
MAALA,Touch
MAALA,Unbound
Mac DeMarco,Another One
Mac DeMarco,I've Been Waiting For Her
Mac DeMarco,The Way You'd Love Her
Mac Miller,Weekend {Ft. Miguel}
"Maccabees, The",Kamakura
"Maccabees, The",Marks To Prove It
"Maccabees, The",Something Like Happiness
"Maccabees, The",Spit It Out
Machine Age,Chivalry
Macklemore & Ryan Lewis,DOWNTOWN {Ft. Eric Nally/Melle Mel/Kool Moe Dee/Grandmaster Caz}
Madeon,Home
Madeon,Nonsense {Ft. Mark Foster}
Madeon,Pay No Mind {Ft. Passion Pit}
Madeon,You're On {Ft. Kyan}
Magic Bones,Danger I Am
Mailer Daemon,All I Know {Ft. Omar Musa}
Mailer Daemon,Let's See {Ft. Sage}
Majical Cloudz,Are You Alone
Majical Cloudz,Silver Car Crash
Majid Jordan,Forever
Major Lazer,Be Together {Ft. Wild Belle}
Major Lazer,Blaze Up The Fire {Ft. Chronixx}
Major Lazer,Lean On {Ft. MØ/DJ Snake}
Major Lazer,Light It Up {Ft. Nyla}
Major Lazer,Lost {Ft. MO}
Major Lazer,Night Riders {Ft. Travi$ Scott/2 Chainz/Pusha T/Mad Cobra}
Major Lazer,Powerful {Ft. Ellie Goulding/Tarrus Riley}
Major Lazer,Roll The Bass
Major Lazer,Too Original {Ft. Elliphant/Jovi Rockwell}
Major Leagues,Someone Sometime
Majora,Grandis
Majora,Iridescent
Majora,The Shaman
Make Them Suffer,Old Souls
Make Them Suffer,Requiem
Makthaverskan,Witness
Mallrat,Suicide Blonde
Malo Zima,'Til It's Gone
Mammut,Blood Burst
Mangelwurzel,Fishy Fry
Mangelwurzel,My House
Manor,Can You Hear Me Talking At You
Mansionair,Pick Me Up
Mansionair,Seasons (Waiting On You) {triple j Like A Version}
Mansionair,Speak Easy
Mantra,Nowhere To Go {Ft.E,Swift/J,Ro}
Many Things,Holy Fire
Maples,Ever Longing
Maples,Into My Arms
Marcus,Cereal At 3am
Marcus Marr & Chet Faker,The Trouble With Us
Maribou State,Rituals
Maribou State,The Clown {Ft. Pedestrian}
Marika Hackman,Animal Fear
Marika Hackman,Ophelia
Marilyn Manson,Deep Six
Mark Ronson,Feel Right {Ft. Mystikal}
Mark Ronson,Heavy And Rolling {Ft. Andrew Wyatt}
Mark Ronson,I Can't Lose {Ft. Keyone Starr}
Mark Ronson,I Sat By The Ocean {triple j Like A Version}
Mark Ronson,In Case Of Fire {Ft. Jeff Bhasker}
Mark Ronson,Leaving Los Feliz {Ft. Kevin Parker}
Mark Ronson,Summer Breaking {Ft. Kevin Parker}
Marksman Lloyd,Olympus {Ft. Whisky Winter}
Marksman Lloyd,Pause {Ft. Coin Banks} {Prod. Sable}
Marlon Williams,Dark Child
Marlon Williams,Hello Miss Lonesome
Martin Courtney,Northern Highway
Martin King,Guilt Trip {Ft. Juliet Rowe}
Martin King,PGF {Ft. Juliet Rowe}
Mas Ysa,Look Up
Mathas,Enforce Less
Mathas,Free Shit {Ft. Ylem/Mei Saraswati}
Matt & Alex,Doin’ Numbers
Matt Corby,Monday
Maundz,Mad Nice {Ft. Hilltop Hoods}
Maundz,Whiplash {Ft. Nitida Atkinson}
Max Frost,Paranoia
Max Frost,Withdrawal
Mazde,Pitch Black {Ft. LissA}
Meat Wave,Delusion Moon
Meat Wave,Network
Meat Wave,Symmy
"Medics, The",Wake Up
"Meeting Tree, The",I Pay My Tax (I Hate Myself) {Ft. Janet English}
"Meeting Tree, The",R U A Cop? {Ft. Adamio Hyde}
Meg Mac,Never Be
Menace Beach,Come On Give Up
Menace Beach,Tastes Like Medicine
Methyl Ethel,Shadowboxing
Methyl Ethel,Twilight Driving
Metric,Fortunes
Metric,The Shade
METZ,Acetate
METZ,Eraser
METZ,I.O.U.
METZ,Spit You Out
Mew,Satellites
Miami Horror,Love Like Mine {Ft. Cleopold}
Michl,Kill Our Way To Heaven
Mid Ayr,Letting You In
Midnight Pool Party,Stay
Midnight To Monaco,Suicide
Miguel,...goingtohell
Miguel,Coffee
Miguel,Flesh
Miike Snow,Heart Is Full
Mikal Cronin,Made My Mind Up
Mike Gao,Shifty {Ft. Anderson Paak & Doja Cat}
Milan,Push & Pull
Milky Chance,Shake It Off {triple j Like A Version}
Millencolin,Sense & Sensibility
Milwaukee Banks,Faded
Mini Mansions,Death Is A Girl
Mini Mansions,Fantasy
Mini Mansions,Vertigo {Ft. Alex Turner}
Missy Elliott,WTF (Where They From) {Ft. Pharrell Williams}
MO,Kamikaze
Modern Baseball,Revenge Of The Nameless Ranger
Modest Mouse,Coyotes
